2026-03-21 22:11:38,650 - API_MONITOR - INFO - Path: /api/movies/genre/Animation | Method: GET | Latency: 0.0793s | Status: 200
2026-03-21 22:11:38,693 - API_MONITOR - INFO - Path: /api/movies/genre/Animation | Method: GET | Latency: 0.0371s | Status: 200
2026-03-21 22:11:41,635 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 3.8954s | Status: 200
2026-03-21 22:11:41,710 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.0674s | Status: 200
2026-03-21 22:11:41,763 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0458s | Status: 200
2026-03-21 22:11:41,812 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0440s | Status: 200
2026-03-21 22:11:41,927 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 3.9992s | Status: 200
2026-03-21 22:11:44,344 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 2.4141s | Status: 200
2026-03-21 22:11:45,505 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0752s | Status: 200
2026-03-21 22:11:45,506 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0747s | Status: 200
2026-03-21 22:11:45,511 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0784s | Status: 200
2026-03-21 22:11:45,548 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0333s | Status: 200
2026-03-21 22:11:45,553 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0409s | Status: 200
2026-03-21 22:11:45,598 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0468s | Status: 200
2026-03-21 22:11:45,895 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.4616s | Status: 200
2026-03-21 22:11:45,956 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.0591s | Status: 200
2026-03-21 22:11:47,985 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 2.4746s | Status: 200
2026-03-21 22:11:48,061 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.0707s | Status: 200
2026-03-21 22:11:48,141 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0731s | Status: 200
2026-03-21 22:11:48,192 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0452s | Status: 200
2026-03-21 22:11:51,938 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 3.7390s | Status: 200
2026-03-21 22:11:52,033 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 4.0455s | Status: 200
2026-03-21 22:25:08,520 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.1616s | Status: 200
2026-03-21 22:25:08,571 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0869s | Status: 200
2026-03-21 22:25:08,603 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.0568s | Status: 200
